x_mm,y_mm,thickness_mm
28.1000,0.0000,0.0000
28.2000,0.0000,0.0000
28.3000,0.0000,0.0000
28.4000,0.0000,0.0000
28.5000,0.0000,0.0000
28.6000,0.0000,0.0000
28.7000,0.0000,0.0000
28.8000,0.0000,0.0000
28.9000,0.0000,0.0000
29.0000,0.0000,0.0000
29.1000,0.0000,0.0000
29.2000,0.0000,0.0000
29.3000,0.0000,0.0000
29.4000,0.0000,0.0000
29.5000,0.0000,0.0000
29.6000,0.0000,0.0000
29.7000,0.0000,0.0000
29.8000,0.0000,0.0000
29.9000,0.0000,0.0000
30.0000,0.0000,0.0000
29.9000,1.0000,0.0000
29.8000,1.0000,0.0861
29.7000,1.0000,0.2438
29.6000,1.0000,0.0861
29.5000,1.0000,0.0000
29.4000,1.0000,0.0000
29.3000,1.0000,0.0861
29.2000,1.0000,0.0861
29.1000,1.0000,0.0000
29.0000,1.0000,0.0000
28.9000,1.0000,0.0000
28.8000,1.0000,0.0000
28.7000,1.0000,0.0000
28.6000,1.0000,0.0000
28.5000,1.0000,0.0000
28.4000,1.0000,0.0000
28.3000,1.0000,0.0000
28.2000,1.0000,0.0000
28.1000,1.0000,0.0000
28.0000,1.0000,0.0000
27.9000,1.0000,0.0000
27.8000,1.0000,0.0000
27.7000,1.0000,0.0000
27.6000,1.0000,0.0000
27.5000,1.0000,0.0000
27.4000,1.0000,0.0000
27.3000,1.0000,0.0000
27.2000,1.0000,0.0861
27.1000,1.0000,0.0000
27.0000,1.0000,0.0000
26.9000,1.0000,0.0000
26.8000,1.0000,0.0000
26.7000,1.0000,0.0000
26.6000,1.0000,0.0000
26.5000,1.0000,0.0000
26.4000,1.0000,0.0000
26.3000,1.0000,0.0000
26.2000,1.0000,0.0000
26.1000,1.0000,0.0000
26.0000,1.0000,0.0000
25.9000,1.0000,0.0000
25.8000,1.0000,0.0000
25.7000,1.0000,0.0000
25.6000,1.0000,0.0000
25.5000,1.0000,0.0000
25.4000,1.0000,0.0000
25.3000,1.0000,0.0000
25.2000,1.0000,0.0000
25.1000,1.0000,0.0000
25.0000,1.0000,0.0000
24.9000,1.0000,0.0000
24.8000,1.0000,0.0000
24.7000,1.0000,0.0000
24.6000,1.0000,0.0000
24.5000,1.0000,0.0861
24.4000,1.0000,0.0000
24.3000,1.0000,0.0000
24.2000,1.0000,0.0000
24.1000,1.0000,0.0000
24.0000,1.0000,0.0000
23.9000,1.0000,0.0000
23.8000,1.0000,0.0000
23.7000,1.0000,0.0000
23.6000,1.0000,0.0000
23.5000,1.0000,0.0000
23.4000,1.0000,0.0000
23.3000,1.0000,0.0000
23.2000,1.0000,0.0000
23.1000,1.0000,0.0000
23.0000,1.0000,0.0000
22.9000,1.0000,0.0000
22.8000,1.0000,0.0000
22.7000,1.0000,0.0000
22.6000,1.0000,0.0000
22.5000,1.0000,0.0000
22.4000,1.0000,0.0000
22.3000,1.0000,0.0000
22.2000,1.0000,0.0000
22.1000,1.0000,0.0000
22.0000,1.0000,0.0000
21.9000,1.0000,0.0000
21.8000,1.0000,0.0000
21.7000,1.0000,0.0000
21.6000,1.0000,0.0000
21.5000,1.0000,0.0000
21.4000,1.0000,0.0000
21.3000,1.0000,0.0000
21.2000,1.0000,0.0000
21.1000,1.0000,0.0000
21.0000,1.0000,0.0000
20.9000,1.0000,0.0000
20.8000,1.0000,0.0000
20.7000,1.0000,0.0000
20.6000,1.0000,0.0000
20.5000,1.0000,0.0000
20.4000,1.0000,0.0000
20.3000,1.0000,0.0000
20.2000,1.0000,0.0000
20.1000,1.0000,0.0000
20.0000,1.0000,0.0000
19.9000,1.0000,0.0000
19.8000,1.0000,0.0000
19.7000,1.0000,0.0000
19.6000,1.0000,0.0000
19.5000,1.0000,0.0000
19.4000,1.0000,0.0000
19.3000,1.0000,0.0000
19.2000,1.0000,0.0000
19.1000,1.0000,0.0000
19.0000,1.0000,0.0000
18.9000,1.0000,0.0000
18.8000,1.0000,0.0000
18.7000,1.0000,0.0000
18.6000,1.0000,0.0000
18.5000,1.0000,0.0000
18.4000,1.0000,0.0000
18.3000,1.0000,0.0000
18.2000,1.0000,0.0000
18.1000,1.0000,0.0861
18.0000,1.0000,0.0000
17.9000,1.0000,0.0000
17.8000,1.0000,0.0000
17.7000,1.0000,0.0861
17.6000,1.0000,0.0861
17.5000,1.0000,0.0000
17.4000,1.0000,0.0000
17.3000,1.0000,0.0000
17.2000,1.0000,0.0000
17.1000,1.0000,0.0000
17.0000,1.0000,0.0000
16.9000,1.0000,0.0000
16.8000,1.0000,0.0000
16.7000,1.0000,0.0000
16.6000,1.0000,0.0000
16.5000,1.0000,0.0000
16.4000,1.0000,0.0000
16.3000,1.0000,0.0000
16.2000,1.0000,0.0000
16.1000,1.0000,0.0000
16.0000,1.0000,0.0000
15.9000,1.0000,0.0000
15.8000,1.0000,0.0000
15.7000,1.0000,0.0000
